seed,ey0,epsi0,controller,rmse_ey,max_abs_ey,mean_abs_delta,final_ey
0,0.2,0.05,MPC,0.028301017742442768,0.23750000000000002,0.0015534282260654157,5.9100139695582896e-37
0,0.2,0.05,SAC,0.017156624819862076,0.23750000000000002,0.0026744648441672323,-0.000783635704429902
0,0.2,0.05,Hybrid,0.017633137033687126,0.23750000000000002,0.0025806600326391304,-0.0007649849826187556
0,0.2,0.1,PID,0.044552236337549886,0.33412433333333336,0.0041217854352155105,4.223906113130142e-14
0,0.2,0.1,MPC,0.04020411656591359,0.31856375789451535,0.0024714503494810574,-1.0367287577910185e-35
0,0.2,0.1,SAC,0.022752806206024212,0.275,0.004062647670507431,-0.0007836450796746404
0,0.2,0.1,Hybrid,0.023412933948312172,0.275,0.003954283607492005,-0.0007649854172622657
0,0.4,-0.1,PID,0.03177989538043263,0.325,0.002903620140344803,-2.5807313463215978e-15
0,0.4,-0.1,MPC,0.024628061711558454,0.325,0.0011667094023986256,2.633421229798552e-35
0,0.4,-0.1,SAC,0.01930344441593178,0.325,0.003253451958298683,-0.0007836588980966296
0,0.4,-0.1,Hybrid,0.019523324264223818,0.325,0.0030536619917315307,-0.0007649894386006597
0,0.4,-0.05,PID,0.034539952645901116,0.36250000000000004,0.002823619977680128,1.1929077588499195e-14
0,0.4,-0.05,MPC,0.03129260226410959,0.36250000000000004,0.001049677856987652,2.045510786610141e-35
0,0.4,-0.05,SAC,0.02264334466845691,0.36250000000000004,0.003581375777721405,-0.0007836418316081695
0,0.4,-0.05,Hybrid,0.02299961501652059,0.36250000000000004,0.0034291298176008945,-0.00076498518513199
0,0.4,0.0,PID,0.04200967304287697,0.4,0.003392045640446209,2.6438886523319953e-14
0,0.4,0.0,MPC,0.03907321023329677,0.4,0.0015862928202104274,1.4370178400389757e-35
0,0.4,0.0,SAC,0.028013733899273623,0.4,0.003507162034511566,-0.0007836401428508103
0,0.4,0.0,Hybrid,0.028475317765472664,0.4,0.003377289794812668,-0.0007649881430497156
0,0.4,0.05,PID,0.05220512093230167,0.4375,0.004376155282003002,4.09486954581406e-14
0,0.4,0.05,MPC,0.050162672826794374,0.4375,0.0023437481603871585,3.411897151512736e-36
0,0.4,0.05,SAC,0.03368388008317495,0.4375,0.005161349177360535,-0.0007836474581786295
0,0.4,0.05,Hybrid,0.034298916879050456,0.4375,0.0049923813025857374,-0.0007649852525563804
0,0.4,0.1,PID,0.06383333295341505,0.5,0.00558109484668319,5.5458504392961343e-14
0,0.4,0.1,MPC,0.06182845343457202,0.5124999527656274,0.0032413097984732536,-7.546344406460944e-36
0,0.4,0.1,SAC,0.04147388997309765,0.47500000000000003,0.005927439257502556,-0.0007836428698558286
0,0.4,0.1,Hybrid,0.042328168437186516,0.47500000000000003,0.005954411433780593,-0.0007649835972404203
